Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Ann Wauters,SEA,C,25,574,25,17,574,8.9,17.2,.519,0.8,1.9,.450,8.1,15.3,.528,3.9,5.4,.737,3.1,13.7,3.4,1.3,1.7,5.4,4.5,22.6
Lindsay Whalen*,MIN,G,33,891,33,33,891,8.6,17.0,.505,0.8,1.5,.500,7.8,15.5,.506,4.2,5.7,.727,1.7,8.0,10.3,1.3,0.3,3.9,4.0,22.1
Tan White,CON,G,31,496,31,0,496,5.9,14.8,.399,2.8,6.9,.403,3.1,7.9,.395,1.6,1.9,.833,0.9,5.2,3.6,3.2,0.6,3.7,5.1,16.2
Candice Wiggins,MIN,G,34,741,34,1,741,5.0,13.7,.360,4.0,10.2,.397,0.9,3.6,.255,2.2,2.6,.865,0.8,5.1,4.7,1.7,0.3,4.3,4.7,16.2
Le'coe Willingham,CHI,F,33,610,33,1,610,3.5,11.1,.313,1.7,6.3,.274,1.7,4.8,.364,1.2,2.0,.609,2.9,8.3,2.7,1.3,0.3,4.9,5.2,9.9
Riquna Williams,TUL,G,33,671,33,3,671,8.9,25.8,.344,2.9,8.9,.325,6.0,16.8,.355,5.7,7.0,.824,1.9,6.1,5.3,3.9,0.7,3.6,5.0,26.4
Lindsay Wisdom-Hylton,WAS,F,34,501,34,2,501,6.5,13.6,.480,0.0,0.1,.000,6.5,13.5,.484,1.5,2.0,.737,4.4,10.4,3.4,2.6,2.9,4.3,5.6,14.6
Julie Wojta,MIN,G-F,1,4,1,0,4,0.0,25.9,.000,0.0,12.9,.000,0.0,12.9,.000,0.0,0.0,,12.9,25.9,0.0,0.0,0.0,12.9,25.9,0.0
Monica Wright,MIN,G,34,660,34,7,660,8.1,17.6,.458,1.3,3.4,.364,6.8,14.2,.481,5.6,7.5,.740,1.4,6.4,5.2,2.7,0.5,5.1,5.4,23.0
Tanisha Wright,SEA,G,32,953,32,32,953,5.0,13.3,.373,0.6,2.9,.192,4.4,10.4,.424,3.8,4.4,.859,1.3,5.5,7.9,2.1,0.2,4.8,5.0,14.3
Sophia Young-Malcolm,SAS,F,33,1049,33,33,1049,10.6,20.4,.521,0.0,0.2,.000,10.6,20.2,.525,5.7,8.0,.706,3.4,11.9,3.5,3.7,0.7,2.8,3.9,26.9
Tamera Young,CHI,F,33,804,33,24,804,7.6,18.0,.423,0.0,0.1,.000,7.6,18.0,.425,2.6,4.3,.606,2.9,8.0,3.1,2.2,0.4,3.0,5.9,17.9
Shavonte Zellous,IND,G,31,692,31,31,692,6.1,16.6,.369,1.5,4.3,.345,4.7,12.3,.377,4.4,5.7,.770,2.1,6.5,4.2,1.8,1.2,3.3,5.5,18.2
Karima Christmas-Kelly,TOT,F-G,30,335,30,6,335,4.7,14.6,.323,1.9,6.0,.316,2.8,8.6,.327,3.8,5.8,.649,4.4,9.9,2.5,4.2,1.3,2.2,5.2,15.1
Roneeka Hodges,TOT,G,32,617,32,16,617,7.3,18.3,.399,4.0,11.4,.353,3.3,6.9,.476,1.7,2.3,.714,0.9,5.1,3.7,1.6,0.8,3.1,1.7,20.3
Lynetta Kizer,TOT,F,22,300,22,0,300,7.9,19.5,.405,0.5,1.0,.500,7.4,18.5,.400,4.9,5.2,.935,5.4,11.1,1.2,1.7,0.3,3.2,6.6,21.2
Jessica Moore,TOT,F-C,16,108,16,0,108,4.3,9.5,.450,0.0,0.0,,4.3,9.5,.450,4.3,5.7,.750,3.8,8.1,0.9,0.0,0.0,4.3,8.5,12.8
Courtney Paris,TOT,C,27,254,27,0,254,7.9,14.5,.542,0.0,0.0,,7.9,14.5,.542,1.8,5.4,.333,7.3,17.2,2.2,1.8,2.4,3.0,6.1,17.6
Andrea Riley,TOT,G,11,99,11,0,99,2.5,16.8,.152,0.5,8.6,.059,2.0,8.1,.250,7.1,8.6,.824,0.0,4.6,7.6,1.5,0.5,6.6,4.1,12.7
Karima Christmas-Kelly,TUL,F-G,14,161,14,6,161,4.5,13.4,.333,1.6,5.1,.313,2.9,8.3,.346,5.4,7.3,.739,4.8,8.6,1.0,4.5,1.3,1.9,7.0,15.9
Roneeka Hodges,IND,G,12,107,12,0,107,7.0,22.1,.318,3.5,13.6,.259,3.5,8.5,.412,1.5,3.0,.500,1.0,3.5,3.5,1.5,3.0,2.0,1.5,19.1
Lynetta Kizer,TUL,F,7,66,7,0,66,2.3,13.2,.176,0.0,1.6,.000,2.3,11.7,.200,10.1,10.9,.929,5.4,11.7,0.0,3.1,0.0,2.3,5.4,14.8
Jessica Moore,ATL,F-C,8,43,8,0,43,7.1,10.6,.667,0.0,0.0,,7.1,10.6,.667,3.5,4.7,.750,5.9,11.8,0.0,0.0,0.0,7.1,9.5,17.7
Courtney Paris,ATL,C,4,29,4,0,29,5.3,10.5,.500,0.0,0.0,,5.3,10.5,.500,0.0,7.0,.000,5.3,14.0,0.0,3.5,3.5,1.8,8.8,10.5
Andrea Riley,PHO,G,9,84,9,0,84,3.0,16.8,.179,0.6,9.6,.063,2.4,7.2,.333,8.4,10.2,.824,0.0,4.8,7.8,1.8,0.6,7.2,3.0,15.0
Karima Christmas-Kelly,IND,F-G,16,174,16,0,174,4.9,15.7,.314,2.2,6.8,.318,2.8,9.0,.310,2.2,4.3,.500,4.0,11.1,4.0,4.0,1.2,2.5,3.4,14.2
Roneeka Hodges,TUL,G,20,510,20,16,510,7.3,17.5,.420,4.1,11.0,.376,3.2,6.5,.492,1.7,2.2,.773,0.9,5.4,3.7,1.6,0.4,3.3,1.7,20.5
Lynetta Kizer,PHO,F,15,234,15,0,234,9.5,21.3,.444,0.6,0.9,.750,8.8,20.4,.432,3.4,3.7,.941,5.4,11.0,1.5,1.3,0.4,3.4,6.9,23.0
Jessica Moore,CON,F-C,8,65,8,0,65,2.4,8.7,.273,0.0,0.0,,2.4,8.7,.273,4.7,6.3,.750,2.4,5.5,1.6,0.0,0.0,2.4,7.9,9.5
Courtney Paris,TUL,C,23,225,23,0,225,8.2,15.1,.545,0.0,0.0,,8.2,15.1,.545,2.1,5.2,.391,7.5,17.6,2.5,1.6,2.3,3.2,5.7,18.5
Andrea Riley,LAS,G,2,15,2,0,15,0.0,16.8,.000,0.0,3.4,.000,0.0,13.5,.000,0.0,0.0,,0.0,3.4,6.7,0.0,0.0,3.4,10.1,0.0
